word,huffman_code,bits,frequency
the,0010,4,23135851162
of,01110,5,13151942776
and,01101,5,12997637966
to,01000,5,12136980858
a,110101,6,9081174698
in,110001,6,8469404971
for,001101,6,5933321709
is,1110000,7,4705743816
on,1010000,7,3750423199
that,1000011,7,3400031103
by,1000000,7,3350048871
this,0110001,7,3228469771
with,0101101,7,3183110675
i,0100111,7,3086225277
you,0011101,7,2996181025
it,0001000,7,2813163874
not,11111100,8,2633487141
or,11111001,8,2590739907
be,11100110,8,2398724162
are,11100101,8,2393614870
from,11011001,8,2275595356
at,11011000,8,2272272772
as,11010000,8,2247431740
your,10111011,8,2062066547
all,10110110,8,2022459848
have,01010101,8,1564202750
new,01010010,8,1551258643
more,01010000,8,1544771673
an,01001000,8,1518266684
was,00110010,8,1483428678
we,00001100,8,1390661912
will,00000100,8,1356293641
home,111101011,9,1276852170
can,111100000,9,1242323499
us,111011010,9,1229112622
about,111011001,9,1226734006
if,110100110,9,1134987907
page,110010100,9,1082121730
my,110000101,9,1059793441
has,101111110,9,1046319984
search,101110011,9,1024093118
free,101101111,9,1014107316
but,101100110,9,999899654
our,101100100,9,998757982
one,101100010,9,993536631
other,101011101,9,978481319
do,101001011,9,950751722
no,101000101,9,937112320
information,100111110,9,932594387
time,100110010,9,908705570
they,100100100,9,883223816
site,100001000,9,844310242
he,100000111,9,842847219
up,011111010,9,829969374
may,011111000,9,827822032
what,011001101,9,812395582
which,011001011,9,810514085
their,010101100,9,782849411
news,001111101,9,755424983
out,001100110,9,741601852
use,000110010,9,719980257
any,000101011,9,710741293
there,000011110,9,701170205
see,000001101,9,681410380
only,1111111001,10,661844114
so,1111111000,10,661809559
his,1111110101,10,660177731
when,1111101011,10,650621178
contact,1111100001,10,645824184
here,1111011010,10,639711198
business,1111010011,10,637134177
who,1111001101,10,630927278
web,1110111100,10,619571575
also,1110111001,10,616829742
now,1110101101,10,611387736
help,1110101011,10,611054034
get,1110100101,10,605984508
pm,1110100010,10,604577485
view,1110011111,10,602279334
online,1110011101,10,601317059
first,1101110101,10,578161543
am,1101110011,10,576436203
been,1101110000,10,575019382
would,1101101101,10,572644147
how,1101101011,10,571848080
were,1101101001,10,570699558
me,1101001001,10,566617666
services,1101000100,10,562206804
some,1100110011,10,548829454
these,1100101010,10,541003982
click,1100100010,10,536746424
its,1100000010,10,525627757
like,1011111000,10,520585287
service,1011110110,10,519537222
than,1011010011,10,502609275
find,1011010001,10,502043038
price,1011001111,10,501651226
date,1010111000,10,488967374
back,1010110101,10,488024109
top,1010101011,10,484213771
people,1010100110,10,480303376
had,1010100101,10,480232730
list,1010010001,10,472590641
name,1001111000,10,464532702
just,1001110100,10,462836169
over,1001101110,10,459222855
state,1001100001,10,453104133
year,1001011100,10,451092583
day,1001010010,10,446236148
into,1001001111,10,445315294
email,1001001100,10,443949646
two,1001000110,10,441398439
health,1001000010,10,440416431
world,1000110010,10,431934249
re,1000101111,10,430847564
next,1000100011,10,425903347
used,1000001101,10,421438139
go,1000001011,10,421086358
work,0111111111,10,419483948
last,0111111101,10,417601616
most,0111111001,10,416210411
products,0111110011,10,414377632
music,0111101111,10,414028837
buy,0111100110,10,410780176
data,0110011110,10,406908328
make,0110010101,10,405084642
them,0110000111,10,403000411
should,0110000011,10,402028056
product,0101110000,10,399116355
system,0101100101,10,396975018
post,0101011101,10,392956436
her,0101011010,10,391961061
city,0101010000,10,390564835
add,0101000110,10,387231739
policy,0100110100,10,384401868
number,0100110001,10,383787805
such,0100101000,10,380725892
please,0100100110,10,380046348
available,0100100100,10,379644437
copyright,0011110000,10,373906735
support,0011100110,10,373512569
message,0011100100,10,373081242
after,0011100011,10,372948094
best,0011100000,10,371852748
software,0011000111,10,370517038
then,0011000101,10,369928941
jan,0001111100,10,366436194
good,0001111010,10,365796396
video,0001111000,10,365410017
well,0001101100,10,362082755
where,0001101000,10,360468339
info,0001001101,10,352363058
rights,0001001010,10,352051342
public,0000111001,10,349286123
books,0000110100,10,347710184
high,0000101010,10,345413157
school,0000100011,10,343057316
through,0000100001,10,342373303
each,0000011101,10,340892856
links,0000011000,10,339926541
she,0000010101,10,339171382
review,0000010100,10,339067778
years,0000001011,10,337841309
order,0000000111,10,336631187
very,0000000000,10,334923368
privacy,11111111011,11,333272427
book,11111110100,11,330959949
items,11111101110,11,330505325
company,11111010010,11,324272258
read,11111000000,11,322331766
group,11110111101,11,321842984
sex,11110110111,11,320105999
need,11110110010,11,319376932
many,11110101011,11,318966441
user,11110011110,11,316446229
said,11110011001,11,315595259
de,11110010110,11,314593284
does,11110010100,11,314018806
set,11110010001,11,313469591
under,11110001111,11,313296421
general,11110001011,11,311757793
research,11110001001,11,311538382
university,11110001000,11,311373936
january,11101111111,11,310345867
mail,11101111110,11,310337185
full,11101111011,11,309929179
map,11101111010,11,309676581
reviews,11101101111,11,307684103
program,11101100010,11,306686983
life,11101100001,11,306559205
know,11101011111,11,306100813
games,11101011101,11,305930896
way,11101011000,11,305515604
days,11101010100,11,305147791
management,11101010001,11,304201237
part,11101001000,11,302729303
could,11101000110,11,302311431
great,11101000001,11,301487430
united,11100100110,11,299280163
hotel,11100100000,11,297974790
real,11100011110,11,297674493
item,11100011010,11,296534935
international,11100010101,11,295639201
center,11100010000,11,294319118
ebay,11011111011,11,293178760
must,11011111001,11,292774716
store,11011110100,11,291308910
travel,11011100011,11,287719294
comments,11011100010,11,287558448
made,11011011110,11,287353021
development,11011011001,11,286291411
report,11011011000,11,286237372
off,11010011100,11,284035693
member,11010010111,11,283858893
details,11001111111,11,280827841
line,11001111100,11,280009597
terms,11001110100,11,277705910
before,11001110010,11,277546019
hotels,11001101100,11,275510917
did,11001101010,11,275369513
send,11001100011,11,274103587
right,11001100000,11,273620358
type,11001011011,11,272336859
because,11001011000,11,271323986
local,11001010110,11,270742935
those,11001001101,11,270014141
using,11001001001,11,269448880
results,11001000010,11,268180843
office,11000011111,11,266789622
education,11000011110,11,266738068
national,11000011100,11,266376620
car,11000010010,11,264720374
design,11000001111,11,264448339
take,11000001110,11,264349801
posted,11000001011,11,263851272
internet,11000001001,11,263777245
address,11000000000,11,261872866
community,10111111111,11,261839117
within,10111111101,11,261390908
states,10111110101,11,260937015
area,10111101110,11,259871557
want,10111101000,11,258690345
phone,10111010101,11,256643812
dvd,10111010011,11,256530337
shipping,10111010010,11,256521328
reserved,10111010000,11,256443074
subject,10111001011,11,256217838
between,10111000111,11,255436698
forum,10111000010,11,254478181
family,10111000000,11,254164055
long,10110101101,11,252519588
based,10110101011,11,252405204
code,10110010111,11,250245121
show,10110000110,11,247541986
even,10101111100,11,245697701
black,10101110010,11,244690155
check,10101101111,11,244491090
special,10101101101,11,244311841
prices,10101100110,11,243435728
website,10101100011,11,242876222
index,10101100010,11,242826246
being,10101100001,11,242783091
women,10101011110,11,242520455
much,10101011011,11,242326300
sign,10101011010,11,242290578
file,10101010100,11,241864251
link,10101001110,11,240402653
open,10100111111,11,239670331
today,10100111100,11,239271204
technology,10100110111,11,238674296
south,10100110100,11,238581133
case,10100011111,11,235563000
project,10100011101,11,235262594
same,10100011010,11,234822585
pages,10100010001,11,234001114
uk,10011110110,11,232749142
version,10011110011,11,232445953
section,10011101111,11,232251956
own,10011101110,11,232011723
found,10011101101,11,232005894
sports,10011101011,11,231864260
house,10011100111,11,231310420
related,10011100101,11,231127472
security,10011011111,11,230014019
both,10011010110,11,228648541
county,10011010001,11,227567373
american,10011010000,11,227534978
photo,10011001101,11,227125249
game,10011000111,11,227111505
members,10011000101,11,226656153
power,10011000001,11,226596368
while,10010111110,11,226194991
care,10010110101,11,225326739
network,10010110100,11,225218991
down,10010110010,11,224915894
computer,10010101101,11,224177047
systems,10010101000,11,223555915
three,10010100111,11,223417394
total,10010100000,11,222649459
place,10010010100,11,220970235
end,10010001110,11,220812328
following,10010001011,11,220709925
download,10010001001,11,220626128
him,10010000001,11,219516023
without,10001111110,11,219190105
per,10001111011,11,218945655
access,10001110101,11,217986984
think,10001110100,11,217856550
north,10001110011,11,217809513
resources,10001110000,11,217268632
current,10001101111,11,216987137
posts,10001101101,11,216822128
big,10001101011,11,216690546
media,10001101000,11,216432510
law,10001100110,11,216122487
control,10001100000,11,215560453
water,10001011011,11,215178488
history,10001011001,11,215000515
pictures,10001011000,11,214997918
size,10001010110,11,214844153
art,10001010101,11,214702696
personal,10001010011,11,214671907
since,10001010001,11,214302926
including,10001001111,11,214195457
guide,10001001001,11,213378807
